번호,구분,문제내용,보기1,보기2,보기3,보기4,정답,해설
83,객관식퀴즈,팍스 달러리움(Pax Dollarium)에 대한 설명 중 옳지 않은 것은 무엇인가?,팍스 달러리움은 달러화가 주도하는 세계경제 질서를 말한다.,미 달러화 외에 중국의 유엔화가 세계경제의 기축통화로 부상했다.,제2의 기축통화로서 위안이 떠오르고 있다.,달러화는 변동환율제도 시행으로 인해 가치가 절반으로 하락했었다.,2번,"팍스 달러리움은 달러화가 주도하는 세계경제 질서를 말하며, '브레튼우즈 체제'가 1944년 출범한 이후 미 달러화가 유일한 기축통화가 되었다. 1971년 브레튼우즈 체제가 붕괴되고 국제통화 체제가 변동환율제로 이행됐을 때나 1985년 달러화 가치가 절반으로 하락했을 때 달러 패권 시대가 끝날 것이라는 주장이 제기되기도 했다. 그러나 달러화는 1990년대 중반 이후 미국경제의 고성장과 강한 달러 정책을 바탕으로 회생했으며 현재까지도 세계 최고의 경제력과 금융 네트워크 지배를 바탕으로 기축통화로서 위상을 유지하고 있다."
84,객관식퀴즈,(         )은(는) 한 나라 경제의 투자활동이 어느 정도인가를 파악하는 지표를 말한다. 다음 중 들어갈 말로 옳은 것은 무엇인가?,사회지표,개별경제지표,투자활동자표,투자심리지표,3번,투자활동지표는 크게 설비투자지표와 건설투자지표로 나뉜다. 투자활동지표는 주로 미래의 경기추세를 판단하는 선행지표로 활용된다. 우리나라에서는 통계청이 매달 발표하는 투자활동지표와 한국은행이 분기별로 발표하는 국민계정상의 투자활동지표가 있다.
85,객관식퀴즈,두 개 이상의 국가가 서로간의 투자증진 및 투자보호를 목적으로 체결하는 협정을 무엇이라 하는가?,TBT협정,투자협정,바젤협정,통상협정,2번,"투자협정은 두 개 이상의 국가가 서로간의 투자증진 및 투자보호를 목적으로 체결하는 협정을 말한다. 두 개의 국가간에 이루어지는 협정을 양자간 투자협정, 다수의 국가간에 이루어지는 협정을 다자간 투자협정이라고 한다. 또한 지역경제 통합체에 속하는 국가들 간에 투자협정이 체결되기도 하며, 이는 지역투자협정 또는 복수 국가간 투자협정이라 할 수 있다. 북미자유무역협정(NAFTA)이 대표적이다."
86,객관식퀴즈,다음 중 중앙은행이 금리를 결정할 때 경제성장률과 물가상승률에 맞춰 조정하는 것을 의미하는 용어는 무엇인가?,과학적 관리론,테일러준칙,공공관리론,구조적 상황이론,2번,"테일러준칙(Taylor's Rule)은 중앙은행이 금리를 결정할 때 경제성장률과 물가상승률에 맞춰 조정하는 것을 말한다. 이에 따라 중앙은행은 실제 경제성장률과 잠재 경제성장률의 차이인 GDP갭과 실제 물가상승률과 목표 물가상승률과의 차이인 인플레이션갭에 가중치를 부여해 금리를 조정한다. 미국 경제학자인 존 B. 테일러 스탠포드대 교수가 제시하였으며, 세계 대부분의 국가에서 통화정책의 기본 모델로 활용하고 있다."
87,객관식퀴즈,외환자유화에 대한 설명으로 옳지 않은 것은 무엇인가?,1998년 정부는 외환거래제도를 자유화하는 외환거래자유화방안을 마련하였다.,제1단계는 기업ㆍ금융기관의 외환거래에 관한 것이다.,제1단계는 외국인투자가에게 한국정부의 정책집행에 대한 신뢰를 제고하였다.,"제2단계는 개인의 외환, 자본거래 등 잔존 외환거래에 관한 것이다.",3번,"1998년 6월 정부는 외환거래제도를 2단계에 걸쳐 자유화하는 외환거래자유화방안을 마련하였다. 이의 추진을 위해 1998년 9월 외국환거래법을 제정ㆍ공포하였으며, 1999년 4월 실시된 1단계 외환자유화에서 기업ㆍ금융기관의 대외영업활동 관련 외환거래 자유화를, 2001년 1월 시행된 2단계 외환자유화조치에서 개인의 외환, 자본거래 및 기타 자본거래 등 잔존 외환거래를 자유화하였다. 제2단계 외환자유화는 외환거래의 자유화에 따라 외환시장 활성화가 촉진되며, 대외적으로 외국인투자가에게 한국정부의 정책집행에 대한 신뢰를 제고하여 외국자본의 이탈 가능성을 방지하는 등의 이점을 지니고 있다. 반면, 자본 유출입 증대로 환율 변동성 심화, 국내 자본의 해외 유출, 불법자금 유출입 등이 증가할 가능성이 존재한다."
88,OX퀴즈,한국은 과거 1980년대에 복수통화바스켓을 실시한 후 시장평균환율제도로 변경한 바 있다.,,,,,1번(O),"복수통화바스켓은 자국과 교역 비중이 큰 나라의 통화, 예를 들면 달러, 유로, 엔화 등을 바스켓(Basket, 꾸러미)으로 한데 묶고 이들 통화의 가치가 변할 경우 각각 교역가중치에 따라 자국통화의 환율에 반영하는 환율제도이다. 우리나라도 한때 복수통화바스켓제도를 시행하였으나 환율을 정책당국이 조작한다는 의혹을 받기 쉽고 미국과 일본의 통화에 영향을 많이 받았다. 1990년 3월에는 '시장평균환율제도'를 도입하였다가 1997년 12월에는 실질적으로 '자유변동환율제도'를 이행하였다."
89,OX퀴즈,물가연동계수는 채권의 발행일 대비 기준일의 물가변동을 나타내는  지수이다.,,,,,1번(O),"물가연동계수는 채권의 발행시점 대비 기준일까지의 물가변동을 나타내는 지수이다. 물가연동계수는 기준일의 참조지수를 발행일의 참조지수로 나누어 계산하며, 물가연동국채의 원금 및 이자지급액 산정에 사용된다."
90,OX퀴즈,"무역촉진권한은 미 행정부가 미국 의회에 통상 협상 권한을 위임하는 법이며, 미 의회가 체결한 협정에 대해 수정할 수 없도록 한 것이다.",,,,,2번(X),무역촉진권한은 미국 의회가 미국 대통령에게 광범위한 통상 관련 협상권을 부여한 법이다. 의회는 대통령이 체결한 협정에 대해 수정할 수 없고 채택 여부만을 결정할 수 있도록 한 것이다.
91,OX퀴즈,무역관련투자조치는 외국인투자와 관련해 무역흐름을 제한하거나 왜곡시키는 효과를 가져 오는 제도적 장치를 의미한다.,,,,,1번(O),"무역관련투자조치는 외국인투자와 관련해 무역흐름을 제한하거나 왜곡시키는 효과를 가져 오는 제도적 장치, 즉 투자유치국의 규제나 인센티브를 말한다. WTO조치는 무역왜곡 및 무역제한효과를 방지하는 데 있어서 법적구속력을 지닌 최초의 다자간 규범이며, 상품교역 관련 투자이행요건의 금지에 관한 내용을 다루고 있다. 즉, 내국민 대우와 수량제한 금지, 개도국 우대조치, 통지 및 경과조치 등이다. 다만, 다국적기업의 제한적 사업관행에 대한 규제, 기술이전 및 외국인 지분참여 제한조건이 논의에서 제외되었다는 점에서 한계가 있음을 지적하기도 한다."
92,OX퀴즈,노동생산성지수는 노동투입량에 대한 산출량의 비율로 나타내는 물적 노동생산성지수와 노동투입량에 대한 부가가치비율로 나타내는 부가가치 노동생산성지수로 나뉜다.,,,,,1번(O),"노동생산성지수는 노동생산성을 측정하는 지표이다. 노동투입량에 대한 산출량의 비율로 나타내는 물적 노동생산성지수와 노동투입량에 대한 부가가치비율로 나타내는 부가가치 노동생산성지수가 있다. 물적 노동생산성지수는 생산의 효율성을 파악하는 데 유용한 지표로 활용되고, 부가가치 노동생산성의 국제경쟁력 비교에 유용한 지표로 활용된다."
93,OX퀴즈,경제지표를 평가하는 과정에서 기준시점과 비교시점의 상대적인 수치에 따라 그 결과에 큰 차이가 나타나는 현상을 승수효과라고 한다.,,,,,2번(X),"경제지표를 평가하는 과정에서 기준시점과 비교시점의 상대적인 수치에 따라 그 결과에 큰 차이가 나타나는 현상을 기저효과라 한다. 호황기의 경제상황을 기준시점으로 현재의 경제상황을 비교할 경우, 경제지표는 실제 상황보다 위축된 모습을 보인다. 반면, 불황기의 경제상황을 기준시점으로 비교하면, 경제지표가 실제보다 부풀려져 나타날 수 있다."
94,OX퀴즈,기업이 영업활동을 할 때 주로 사용하는 통화를 기축통화라 한다.,,,,,2번(X),"기능통화는 기업이 영업활동을 할 때 주로 사용하는 통화를 말한다. 예를 들어 해운업체 등 수출업체의 경우 영업활동의 주무대는 해외다. 이 때 영업, 투자 및 재무활동의 주요 거래통화는 타국통화이므로 해운업체 및 수출업체의 기능통화는 타국통화가 된다."
95,OX퀴즈,공유가치창출은 기업이 사업을 할 때 기업의 이윤 극대화를 추구하다보면 사회 전체의 이익도 저절로 증가한다는 개념이다.,,,,,2번(X),"공유가치창출은 기업이 특정 사업을 함에 있어 기업의 문제뿐 아니라 기후변화, 경제양극화 등 사회적 문제 해결을 위해 노력하면 기업의 수익 증진뿐 아니라 사회 전체의 이익도 증진시킬 수 있다는 개념이다."
96,OX퀴즈,특정국가의 덤핑 수입품이 전체 동종 수입품에서 차지하는 비율이 3% 미만을 충족하는 조건처럼 덤핑 수입품의 수량이 무시할만한 수준을 미소수입물량이라고 한다.,,,,,1번(O),"미소수입물량은 덤핑 수입품의 수량이 무시할만한 수준을 의미한다. 미소 마진 등의 판정으로 반덤핑 조사가 종결되는 사유 중 하나이다. WTO협정에서 미소수입물량에 해당되기 위해서는 특정국가의 덤핑 수입품이 전체 동종 수입품에서 차지하는 비율이 3% 미만이고, 전체 수입품에서 차지하는 비율이 3% 미만인 국가들의 합산한 수입의 비율이 7% 이하이어야 한다는 등의 조건을 충족시켜야 한다."
97,OX퀴즈,물가안정목표제는 중장기적으로 달성해야할 물가목표치를 미리 제시하고 통화정책을 수행하는 방식으로 한 번 설정하면 수정할 수 없다.,,,,,2번(X),"물가안정목표제는 중앙은행이 일정기간 또는 장기적으로 달성해야 할 물가목표치를 미리 제시하고 이에 맞춰 통화정책을 수행하는 방식이다. 중앙은행은 통화량, 금리, 환율 등 다양한 정보변수를 활용해 장래의 인플레이션을 예측하고 실제 물가상승률이 목표치에 수렴할 수 있도록 통화정책을 수행한다. 이후 그 성과를 평가하고 시장의 기대와 반응을 반영하면서 정책방향을 수정해 나간다."
98,OX퀴즈,"경제성장률은 일정기간 동안 한 나라의 경제 규모가 변화한 정도로, 음(-)의 값을 갖지 않는다.",,,,,2번(X),경제성장률은 일정 기간(분기 또는 연간) 동안 한 나라의 경제 규모가 변화한 정도를 말한다. 흔히 t기의 경제성장률(%)은 [(t기의 경제 규모 - t-1기 경제 규모)/ t-1기 경제 규모] X 100으로 계산한다. 경제성장률이 (+)라면 경제 규모가 커지는 것이고 경제성장률이 (-)라면 경제 규모가 작아지는 것이다.
99,OX퀴즈,하나의 자원배분 상태에서 어느 누구에게도 손해가 가지 않게 하면서 최소한 한 사람 이상에게 이득을 가져다주는 변화를 파레토 최적이라고 말한다.,,,,,2번(X),"파레토 최적이 아닌 파레토 개선(Pareto Improvement)에 관한 설명이다. 참고로, 파레토 최적(파레토 효율)이란 파레토 개선이 불가능한 상태, 즉, 다른 사람에게 손해가 가도록 하지 않고서는 어떤 한 사람에게 이득이 되는 변화를 만들어내는 것이 불가능한 배분 상태를 말한다. 반대로, 파레토 비효율은 파레토 개선이 가능한 상태를 말한다."
100,OX퀴즈,트릴레마(Trilemma)는 하나의 정책 목표를 달성하려다보면 다른 두 가지의 목표에 이룰 수 없는 상황을 일컫는 말이다.,,,,,2번(X),"트릴레마(Trilemma)는 세 가지 정책 목표 간에 상충관계가 존재하여 이들을 동시에 개선할 수 없는 상황을 말한다. 거시경제학에서 '물가', '실업', '국제수지'의 3가지 간에 존재하는 상충관계가 대표적이다."
101,OX퀴즈,통화유통속도는 국민총소득을 통화량으로 나눠 계산한다.,,,,,2번(X),"통화유통속도는 일정기간 동안에 화폐 한 단위가 거래에 사용되는 횟수로, 국내총생산을 통화량으로 나눠 계산한다."
102,OX퀴즈,미래의 특정 시점에 특정 통화를 미리 약정한 가격으로 사거나 팔 수 있는 권리가 부여된 파생상품을 통화옵션이라 한다.,,,,,1번(O),"통화옵션은 미래의 특정 시점(만기일)에 특정 통화를 미리 약정한 가격(행사가격)으로 사거나 팔 수 있는 권리가 부여된 파생상품을 말한다. 여기서 ‘미리 결정된 기간 안에 특정 상품을 정해진 가격으로 사고 팔 수 있는 권리’를 옵션이라 하는데, 거래의 대상이 되는 기초자산이 특정 통화인 경우 통화옵션이 된다."
103,OX퀴즈,"통화승수는 경제 주체들의 현금보유비율, 은행의 지급준비율이 클수록 커진다.",,,,,2번(X),통화승수는 총통화량을 의미하는 광의통화(M2)를 한국은행이 공급하는 본원통화로 나눈 수치다. 즉 본원통화 한 단위가 증가할 때 총통화량이 늘어나는 비율이다. 경제주체들의 현금보유비율과 예금은행의 지급준비율이 작을수록 커진다.
104,OX퀴즈,퀀텀점프(Quantum Jump)는 단기간에 비약적으로 실적이 호전되는 현상이다.,,,,,1번(O),퀀텀점프(Quantum Jump)는 단기간에 비약적으로 실적이 호전되는 현상을 의미한다. 원래 물리학에서 양자도약을 의미하는 말이다.
105,OX퀴즈,"취업유발계수는 특정 제품의 생산과정에서 직접 투입되는 노동량을 말하며, 생산의 파급과정에서 간접적으로 유발되는 노동량은 제외된다.",,,,,2번(X),"취업유발계수는 특정 제품이나 산업에 대한 수요가 발생할 경우 경제 전체적으로 늘어나는 취업자수이다. 생산의 파급과정에서 간접적으로 유발되는 노동량까지 포함한다. 가령, 자동차를 생산한다고 하면 이에 직접적으로 투입되는 노동량 뿐만 아니라 타이어나 부품 등 자동차와 관련한 수많은 제품을 생산하는데 소요되는 노동량까지도 포함해 측정한다."
106,OX퀴즈,"총통화(M2)는 통화량을 측정하는 지표 중 하나로, 협의통화에 저축성 예금을 제외하고 요구불 예금만 합한 것이다.",,,,,2번(X),"총통화(M2)은 통화량을 측정하는 지표 중 하나로, 현금 및 요구불예금을 포함하는 협의통화(M1)에 저축성예금을 포함한다."
107,OX퀴즈,"총계예산주의는 회계연도 내에 일체의 수입을 세입으로 하고, 일체의 경비를 세출로 하여 각각 예산에 계상해야 한다는 원칙을 말하며, 이를 채택한 국가는 한국이 유일하다.",,,,,2번(X),"총계예산주의는 회계연도 내에 일체의 수입을 세입으로 하고, 일체의 경비를 세출로 하여 각각 예산에 계상해야 한다는 원칙을 말한다. 총계예산주의는 순계예산주의와 달리 수입과 지출의 상계를 허용하지 않는다. 재정의 전반을 파악하는 것이 용이하고 예산집행의 책임을 명확히 할 수 있다는 장점 때문에 대부분의 국가들은 총계예산주의를 채택하고 있다."
108,객관식퀴즈,다음 중 캐시 카우(Cash Cow)에 대해 잘못된 설명은 무엇인가?,"현재의 수익 창출이라는 측면에서는 안정적이지만, 미래 발전가능성은 높지 않다.",캐시 카우로 분류되는 제품이나 산업은 잘 다져진 브랜드 명성을 갖고 있다.,미국 보스턴컨설팅그룹(BCG)에서 처음 사용했다.,어떤 사업을 위해 출자를 하는 것을 말한다.,4번,"캐시 카우는 시장점유율이 높아 꾸준한 수익을 가져다주지만 시장의 성장가능성은 낮은 제품이나 산업을 말한다. 즉 현재의 수익 창출이라는 측면에서는 안정적이지만, 미래 발전가능성은 높지 않다는 것을 의미한다. 미국 보스턴컨설팅그룹(BCG)에서 처음 사용한 용어로, 제품의 시장성장률과 시장점유율을 토대로 각 사업단위의 위치 및 성과를 평가하여 계속 유지할 것인지, 철수할 것인지의 전략적 판단을 내릴 때 사용된다."
109,객관식퀴즈,다음 중 채무증권에 해당되지 않는 설명은 무엇인가?,회사에서 발행한 사채를 보유하는 것을 뜻한다.,회사의 부채에 투자한다는 점이 특징이다.,기업의 자본에 투자한다.,안정적인 이자수익을 받을 수 있다.,3번,기업의 자본에 투자하는 것은 채무증권이 아닌 지분증권에 해당한다.
110,객관식퀴즈,"경제 봉쇄 수단의 일종으로 상대의 자산을 현 상태대로 두되 이동, 처분, 사용을 금지하는 행위는 무엇인가?",자산이전,자산재평가,자산동결,자본잠식,3번,"자산을 현 상태대로 두되 이동, 처분, 사용을 하지 못하게 하는 것을 자산동결이라고 한다. 일종의 경제 봉쇄 수단으로 볼 수 있으며 상대의 자산 처분권을 일시적으로 박탈하려는 데에 그 목적이 있다. 법원이 회사의 파산으로 채권자 등이 불이익을 당하지 않게 하기 위해 자산동결을 하는 경우도 있다."
111,객관식퀴즈,다음 중 자본시장통합법의 목적이 아닌 것은 무엇인가?,금융회사의 대형화 촉진,금융회사의 전문화 촉진,은행과 증권업간 겸영,투자자 보호 강화,3번,"은행과 보험을 제외한 증권업, 자산운용업, 선물업, 종금업, 신탁업 등 5개 자본시장 관련 업종 간 겸영을 허용하는 법적 제도로 2009년 2월 4일부터 시행되고 있다. 5개 업종을 하나의 업종으로 통합해 미국의 골드만삭스, 모건스탠리와 같은 대형투자은행 (IB) 업무를 할 수 있도록 하기 위한 제도다. 자본시장통합법의 시행으로 금융투자상품(증권, 파생상품), 금융투자업(투자매매업, 투자중개업, 집합투자업, 투자일임업, 투자자문업, 신탁업), 고객(전문투자자, 일반투자자)을 기준으로 금융기능이 분류되고, 동일한 금융기능에 대해서는 같은 규제가 적용된다."
112,객관식퀴즈,인수합병은 어떤 기업의 소유권을 획득하고자 하는 경영전략이다. 다음 중 일반적인 M&A 방법에 해당되지 않는 것은 무엇인가?,주식 인수,이익 배당,자산 취득,위임장 대결,2번,"인수합병은 어떤 기업의 소유권을 획득하고자 하는 경영전략으로 대상기업들이 합쳐 단일회사가 되는 `합병(Merger)`과 경영권 획득을 목적으로 자산이나 주식을 취득하는 `인수(Acquisition)`를 합한 개념이다. 일반적인 M&A 방법으로는 주식인수, 영업양수, 자산취득, 위임장대결, 합병 등이 있다."
113,객관식퀴즈,다음 중 우리사주제도의 목적이 아닌 것은 무엇인가?,근로자 재산형성,경영권 방어,기업생산성 향상,협력적 노사관계,2번,"우리사주제도는 근로자가 우리사주조합을 설립하여 자기회사의 주식을 취득, 보유하는 제도이다. 근로자 재산형성, 기업생산성 향상 및 협력적 노사관계 등을 목적으로 하고 있으며, 미국ㆍ영국 등 세계 여러 나라에서 이러한 목적을 위해 널리 활용되고 있다."
114,객관식퀴즈,기업의 주된 영업활동에서 생긴 매출총이익에서 판매비와 일반관리비를 차감하고 남은 금액은 무엇인가?,영업이익,일반관리비,경상이익,매출원가,1번,"영업이익이란 기업의 주된 영업활동에서 생긴 매출총이익에서 매출원가를 빼고 다시 판매비와 일반관리비를 차감하고 남은 금액을 말한다. 말그대로 순수하게 벌어들인 이익을 말하며, 기업의 본래 활동의 성과를 나타내기 때문에 수익성의 지표로서 중시되고 있다."
115,객관식퀴즈,"자기자본순이익률(ROE)을 구성하는 원천을 영업효율성(매출이익률), 자산활용의 효율성(총자산회전율) 및 재무레버리지(자기자본승수)의 요소별로 나눠 현재의 수익성을 분석하는 방법으로, 미국의 유명한 화학업체에서 근무하던 사람이 고안한 재무분석기법은 무엇인가?",SK분석,P&G분석,듀퐁분석,LG분석,3번,"화학업체인 듀퐁에서 근무하던 브라운(Donaldson Brown)이 1920년대 고안한 재무분석기법을 듀퐁분석이라고 하며, 듀퐁 항등식(Dupont Identity)이라고도 한다. 자기자본순이익률(ROE)을 구성하는 원천을 영업효율성(매출이익률), 자산활용의 효율성(총자산회전율) 및 재무레버리지(자기자본승수)의 요소별로 나누어 현재의 수익성을 분석하는 방법이다."
116,OX퀴즈,기업이 실적을 발표할 때 시장에서 예상했던 것 보다 높은 실적을 발표하는 것을 어닝서프라이즈(Earning Surprise)라고 한다.,,,,,1번(O),"어닝서프라이즈(Earning Surprise)에 대한 옳은 설명이다. 기업은 일반적으로 분기별로 실적을 발표하는데, 대차대조표와 손익계산서 등을 통해 매출액과 손이익의 증감을 발표한다. 이때 기존의 기대치보다 실적이 크게 좋은 상황을 어닝서프라이즈라고 한다. 반댓말로는 어닝쇼크(Earning Shock)가 있다."
117,OX퀴즈,"퇴직연금 중 확정급여형은 사용자(회사)의 기여금 수준이 사전에 결정되고, 근로자가 받을 연금급여액은 적립금 운용실적에 따라 변동되는 연금제도를 말한다.",,,,,2번(X),"사용자(회사)의 기여금 수준이 사전에 결정되고, 근로자가 받을 연금급여액은 이 적립금 운용 실적에 따라 변동되는 연금제도는 확정기여형 연금이다. 퇴직연금은 확정금여형(DB)와 확정기여형(DC)로 구분되며, 확정급여형은 근로자가 받을 연금급여액의 수준이 사전에 결정되어 있는 연금제도이다."
118,OX퀴즈,화의제도는 기업이 파산ㆍ부도 위험에 직면했을 때 법원의 중재를 받아 채권자들과 채무 변제협정을 체결하여 파산을 피하는 제도이다.,,,,,1번(O),"기업이 파산ㆍ부도 위험에 직면했을 때 법원의 중재를 받아 채권자들과 채무 변제협정을 체결하여 파산을 피하는 제도이다. 법원은 화의신청이 타당하다고 판단되면 법정관리와 마찬가지로 재산보전처분결정을 내려 채무이행을 동결하여 부도를 막아준다. 법원이 법정관리인을 선정하고 기업경영까지 책임지는 법정관리와는 다르게 화의제도에서는 법원이 기업경영에 전혀 개입하지 않고 기존 경영주가 기업경영을 계속 맡는다. 화의제도는 회사정리절차보다 간략하고 비용이 저렴하며, 채무자가 법원의 감독을 덜 받고 채권자와 자주적으로 절차를 운용할 수 있는 것이 장점이 있다."
119,OX퀴즈,투자개방형 의료법인은 의사 개인이 직접 자본을 투자해서 설립하고 운영하는 영리법인이다.,,,,,2번(X),투자개방형 의료법인은 의사 개인이 아닌 대형자본이 투자한 법인이 병원을 설립 및 운영할 수 있게 하는 제도이다.
120,OX퀴즈,"차입경영은 돈을 빌려 사업을 한다는 것으로, 일반적으로 레버리지효과(지렛대 효과)를 기대하여 과도한 부채를 기반으로 기업을 경영하는 것을 말한다.",,,,,1번(O),"경영학에서는 차입경영을 자기자본이 아닌 은행과 같은 외부 금융기관이나 개인, 혹은 기타 법인으로부터의 타인자본의 비중을 높여 경영활동을 하는 것이라 표현한다. 기업을 경영할 때 외부에서 자금을 빌리는 것이 문제가 되는 것은 아니지만, 차입한 자금의 비중이 지나치게 많은 경우 매출 부진이나 외부 요인으로 자금사정이 나빠지거나 시장이자율이 급상승하는 상황에서는 회사가 위기를 맞을 수 있기 때문에 부채를 감당할 수 있는 적정 수준으로 유지해야 한다."
121,OX퀴즈,기업소유지분의 인수ㆍ합병 가운데 기존 대주주의 협의 없이 이루어지는 기업지배권 탈취를 '자산동결'이라고 한다.,,,,,2번(X),기업 소유 지분의 인수ㆍ합병 가운데 기존 대주주의 협의 없이 이루어지는 기업지배권 탈취를 적대적 M&A라고 한다. 매수자와 피매수기업 간의 합의로 이루어지는 우호적 M&A와는 달리 피매수측의 의사에 반하여 이루어지는 M&A 이다.
122,OX퀴즈,"기업의 총자본에서 차입자본금(부채)를 뺀 금액으로, 미래 일정 시점에 상환해야 할 의무가 없는 기업 고유의 재산을 자기자본이라고 한다.",,,,,1번(O),자기자본은 소유주에게 귀속되어야 할 몫을 나타내기 때문에 소유주지분 또는 주주지분이라고도 불린다. 회사의 설립 때 납입된 자본과 영업활동을 하면서 벌어들인 이익 등으로 구성된다.
123,OX퀴즈,'넛지 마케팅'은 팔꿈치로 슬쩍 찌르는 것처럼 사람들을 원하는 방향으로 유도하여 상품을 구매하도록 하는 판매기법이다.,,,,,1번(O),넛지란 '팔꿈치로 툭툭 치다'라는 의미로 행동경제학으로 노벨 경제학상을 수상한 리처드 타일러 교수의 저서명이기도 하다. 특정 행동을 유도하지만 직접적인 명령이나 지시를 동반하지는 않는 마케팅을 넛지 마케팅이라고 한다.
124,OX퀴즈,"가치공학'은 원가절감과 제품가치를 동시에 추구하기 위해 제품의 개발에서부터 설계, 생산, 유통, 서비스 등 모든 경영활동의 변화를 추구하는 경영기법으로 가치분석이라고도 한다.",,,,,1번(O),"가치공학은 원가절감과 제품 가치를 동시에 추구하기 위해 제품의 개발에서부터 설계, 생산, 유통, 서비스 등 모든 경영활동의 변화를 추구하는 경영 기법으로 가치분석이라고도 한다. 가치공학은 또 다양한 목표를 수용, 그 목표를 가장 값싸고 효율적인 방법으로 달성하는 길을 찾는 기법이다. 가치공학이 다른 혁신 기법과 다른 점은 전사적 품질경영(TQM)이 문화적 차원에서 종업원들의 태도 변화에 중점을 두는 반면, 가치공학은 문제를 해결하는 방법론을 제공한다. 또 산업공학이 순수한 엔지니어링이라면 가치공학은 일종의 분석 프로세스로 리엔지니어링에 가치공학을 도입하면 효과를 배가할 수 있다."
125,OX퀴즈,"테크노크라시(Technocracy)는 전문적 지식이나 과학기술 등에 의한 지배를 의미하며, 이것을 소유한 자가 사회 또는 조직의 의사결정에 커다란 영향을 가지게 되는 시스템을 의미한다.",,,,,1번(O),"테크노크라시(Technocracy)는 기술(technology)과 관료(bureaucracy)의 합성어로, 전문적 지식이나 과학기술 등에 의한 지배를 말한다. 과학기술의 영향과 역할이 비약적으로 증대하고 있는 현대사회에서는 과학적 지식ㆍ기술의 소유 자체가 ‘권력’에 중요한 접근 경로가 되므로, 이것을 소유하는 자가 사회를 관리ㆍ운영ㆍ조작할 수 있다는 주장이다. 20세기 초 진보적 운동을 통해 나타난 이 개념은 대공황 시기였던 1930년대에 대중의 관심을 끌었다. 자본주의의 혼란, 부의 편재나 소비에 있어 비판적인 입장에 서서 분배의 공평, 공공의 복지가 유능한 기술자의 지도에 의해서 가능하다고 주장하였다. 테크노크라시 운동은 F. W. 테일러가 과학적 관리라는 개념을 도입하면서 시작되었고, H. L. 갠트, S. 베블런, H. 스콧과 같은 저술가들이 주장하였다."
126,OX퀴즈,"미혼 회사원이나 대학생, 원거리 출퇴근자, 주말부부 등 집 외에 한시적으로 주거 공간이 필요한 사람들을 위한 초소형 부동산 상품을 코쿤하우스라고 한다.",,,,,1번(O),"코쿤하우스는 독신자와 학생을 겨냥한 초미니 주택을 말한다. 코쿤(cocoon)은 나 혼자만의 작은 공간을 뜻하는 말로 미혼 회사원이나 대학생, 주말부부 등 집 외에 한시적으로 주거 공간이 필요한 사람들이 주로 이용한다. 규모는 2평 이하인 고시원보다는 크고 일반 원룸보다는 작은 수준이며 침대, 옷장, 책상, 냉장고 등 생활에 필요한 가구나 가전제품이 설치돼있다. 독신인구가 증가하면서 코쿤하우스의 수요도 지속적으로 늘고 있다."
127,OX퀴즈,"자신의 경험만을 근거로 판단하는 것을 의미하며 경험이 쌓이면 노하우가 되지만, 지나치면 선입견을 키우게 되는 현상을 성공의 함정(success trap)이라고 한다.",,,,,2번(X),"경험의 함정(Experience Trap)은 자신의 경험이 마치 모든 것인 양, 경험만을 근거로 판단하는 것을 의미하며 경험이 쌓이면 노하우가 되지만, 지나치게 자신만의 경험에 의존하면 선입견을 키우게 된다. 기업도 경험 많은 기업이 오히려 새로운 기회를 포착하는 데 어려움을 겪을 수 있다."
128,OX퀴즈,주어진 문제 해결을 위한 혁신적인 아이디어를 얻기 위하여 문제가 발생된 근본 모순을 찾아내 이에 대한 해결 방안을 모색하는 창의적 문제해결이론을 트리즈(TRIZ)라고 한다.,,,,,1번(O),"트리즈(TRIZ)는 주어진 문제에 대하여 가장 이상적인 결과를 정의하고, 그 결과를 얻는 데 관건이 되는 모순을 찾아내 그 모순을 극복할 수 있는 해결안을 얻을 수 있도록 생각하게 하는 체계적 방법에 대한 이론이다. 러시아어 Teoriya Resheniya Izobretatelskikh Zadatch의 약자이며 영어로는 theory of inventive problem solving이다. 트리즈는 러시아 과학자 겐리히 알트슐러(Genrich Altshuller)가 1940년대 구 소련 해군에서 특허 심사업무를 할 당시에 발명에는 어떤 공통의 법칙과 패턴이 있음을 발견하면서 탄생했다."
